Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP0001,Male,Yes,1,Graduate,Yes,9225,3097,118,480,1.0,Urban,N
LP0002,Female,Yes,2,Not Graduate,No,2026,4616,398,180,0.0,Rural,N
LP0003,Male,Yes,0,Not Graduate,No,4724,9,369,240,1.0,Urban,Y
LP0004,Male,No,0,Graduate,No,11945,5752,470,480,1.0,Semiurban,Y
LP0005,Male,Yes,0,Graduate,No,13036,9852,98,180,1.0,Urban,Y
LP0006,Female,Yes,0,Graduate,Yes,13657,6295,454,360,0.0,Urban,N
LP0007,Male,No,3+,Not Graduate,No,3375,4815,123,240,1.0,Urban,Y
LP0008,Male,Yes,0,Not Graduate,Yes,3263,1072,241,480,0.0,Semiurban,N
LP0009,Male,No,3+,Not Graduate,Yes,10212,3225,310,180,1.0,Urban,Y
LP0010,Female,No,3+,Not Graduate,Yes,7297,1316,405,180,1.0,Semiurban,Y
LP0011,Male,Yes,0,Graduate,Yes,10708,5699,119,360,1.0,Rural,Y
LP0012,Male,No,0,Graduate,Yes,8599,6807,139,480,0.0,Urban,N
LP0013,Male,Yes,1,Graduate,No,6609,6674,309,360,1.0,Semiurban,Y
LP0014,Male,No,2,Graduate,No,8144,3683,175,360,1.0,Semiurban,Y
LP0015,Female,No,0,Not Graduate,No,1616,7227,280,480,1.0,Urban,Y
LP0016,Male,Yes,1,Not Graduate,No,3933,3273,344,480,1.0,Rural,Y
LP0017,Female,No,1,Graduate,Yes,6963,7000,468,480,0.0,Semiurban,N
LP0018,Female,No,2,Graduate,No,2083,145,178,240,1.0,Urban,N
LP0019,Female,No,3+,Not Graduate,Yes,10086,5010,329,480,0.0,Rural,N
LP0020,Male,No,0,Graduate,No,14875,3040,362,180,1.0,Semiurban,Y
LP0021,Female,No,2,Not Graduate,Yes,5288,9654,149,360,1.0,Semiurban,N
LP0022,Male,Yes,0,Graduate,Yes,12460,9776,375,240,1.0,Rural,Y
LP0023,Female,No,1,Graduate,No,5667,482,346,480,1.0,Rural,N
LP0024,Female,Yes,1,Graduate,Yes,13552,3179,231,240,1.0,Urban,N
LP0025,Female,No,3+,Graduate,Yes,9965,1249,223,480,1.0,Urban,Y
LP0026,Female,Yes,1,Graduate,No,11705,630,365,240,1.0,Semiurban,Y
LP0027,Female,Yes,1,Graduate,Yes,14125,8853,413,360,0.0,Rural,N
LP0028,Female,No,2,Graduate,No,2889,2852,237,360,0.0,Rural,N
LP0029,Female,No,0,Not Graduate,No,13258,987,106,180,0.0,Rural,N
LP0030,Female,No,0,Not Graduate,No,14394,7622,80,180,0.0,Semiurban,Y
LP0031,Male,Yes,2,Not Graduate,Yes,9857,7327,133,480,1.0,Rural,Y
LP0032,Male,No,3+,Not Graduate,Yes,11259,9738,201,360,1.0,Rural,Y
LP0033,Female,Yes,0,Not Graduate,Yes,7654,8841,85,240,1.0,Semiurban,N
LP0034,Female,Yes,1,Graduate,No,6920,9160,262,240,1.0,Urban,Y
LP0035,Female,Yes,0,Graduate,Yes,10420,1100,463,240,1.0,Urban,N
LP0036,Male,No,1,Not Graduate,No,3543,6652,457,180,1.0,Semiurban,Y
LP0037,Female,No,3+,Graduate,No,5697,8632,413,240,1.0,Rural,Y
LP0038,Male,Yes,2,Not Graduate,Yes,4996,7421,155,180,1.0,Semiurban,Y
LP0039,Male,Yes,0,Not Graduate,No,2278,5016,463,180,1.0,Urban,Y
LP0040,Male,No,2,Graduate,Yes,1713,769,391,480,1.0,Urban,N
LP0041,Male,Yes,0,Graduate,Yes,5262,1343,269,240,1.0,Semiurban,Y
LP0042,Male,No,1,Graduate,Yes,14899,4358,440,240,1.0,Semiurban,Y
LP0043,Female,Yes,2,Not Graduate,Yes,11268,9769,212,360,1.0,Urban,Y
LP0044,Female,No,0,Graduate,Yes,12140,6780,488,480,1.0,Semiurban,N
LP0045,Female,Yes,1,Not Graduate,No,8231,6602,269,360,0.0,Urban,N
LP0046,Female,No,2,Not Graduate,No,12628,2349,319,480,1.0,Semiurban,Y
LP0047,Female,Yes,2,Not Graduate,No,4617,5699,169,240,1.0,Semiurban,N
LP0048,Male,No,0,Graduate,Yes,7291,1241,443,180,0.0,Semiurban,N
LP0049,Female,No,0,Graduate,Yes,10283,1125,385,180,1.0,Urban,Y
LP0050,Female,Yes,0,Not Graduate,Yes,14897,9382,449,180,1.0,Semiurban,Y
LP0051,Male,Yes,1,Graduate,No,4220,6764,231,180,1.0,Urban,Y
LP0052,Female,No,0,Graduate,Yes,10405,5101,155,180,1.0,Urban,Y
LP0053,Male,Yes,2,Graduate,No,10627,7843,266,360,1.0,Semiurban,Y
LP0054,Female,No,2,Not Graduate,No,7547,72,254,480,1.0,Semiurban,Y
LP0055,Male,Yes,0,Not Graduate,Yes,14029,5472,119,240,0.0,Urban,N
LP0056,Female,No,0,Graduate,Yes,9532,5189,93,360,1.0,Urban,Y
LP0057,Female,No,3+,Not Graduate,No,1501,2472,378,480,1.0,Rural,N
LP0058,Male,No,2,Graduate,Yes,7868,707,350,180,1.0,Urban,Y
LP0059,Male,No,1,Graduate,No,12540,1804,277,480,1.0,Rural,Y
LP0060,Male,No,3+,Graduate,Yes,13736,6704,233,480,1.0,Rural,Y
LP0061,Male,No,0,Graduate,Yes,3449,3713,156,180,1.0,Rural,Y
LP0062,Male,Yes,0,Not Graduate,No,8232,5051,133,180,0.0,Semiurban,N
LP0063,Male,Yes,2,Not Graduate,Yes,9333,2475,387,180,1.0,Semiurban,Y
LP0064,Male,Yes,0,Not Graduate,No,2417,3610,299,240,1.0,Urban,Y
LP0065,Male,No,1,Graduate,Yes,4674,4255,412,180,1.0,Rural,Y
LP0066,Female,No,2,Graduate,No,11933,7397,490,240,1.0,Semiurban,N
LP0067,Female,No,0,Graduate,No,8514,1735,70,180,1.0,Semiurban,Y
LP0068,Male,No,2,Not Graduate,Yes,1589,9777,245,240,1.0,Semiurban,Y
LP0069,Female,Yes,0,Graduate,No,3209,8258,227,480,1.0,Semiurban,Y
LP0070,Female,Yes,0,Not Graduate,Yes,11861,7979,466,360,1.0,Semiurban,Y
LP0071,Female,No,0,Not Graduate,Yes,13930,2428,56,480,0.0,Rural,N
LP0072,Female,Yes,1,Not Graduate,Yes,4541,7426,119,480,1.0,Rural,Y
LP0073,Male,Yes,1,Not Graduate,No,1605,8533,176,180,0.0,Rural,N
LP0074,Female,No,2,Not Graduate,No,10578,5249,448,240,1.0,Rural,Y
LP0075,Male,Yes,0,Not Graduate,Yes,10119,5291,209,360,1.0,Urban,Y
LP0076,Female,No,0,Graduate,Yes,3395,2817,297,180,1.0,Rural,Y
LP0077,Female,Yes,1,Graduate,No,7590,9424,252,180,1.0,Semiurban,Y
LP0078,Female,No,0,Not Graduate,Yes,10008,3874,197,180,1.0,Rural,Y
LP0079,Male,No,1,Not Graduate,Yes,7582,9686,192,480,1.0,Urban,Y
LP0080,Female,No,0,Graduate,No,2134,4211,481,240,1.0,Semiurban,Y
LP0081,Male,No,2,Not Graduate,Yes,3425,661,248,240,1.0,Rural,Y
LP0082,Female,Yes,0,Not Graduate,No,3556,3374,454,360,1.0,Rural,Y
LP0083,Male,No,0,Graduate,Yes,8417,9208,475,240,0.0,Rural,Y
LP0084,Female,No,3+,Not Graduate,No,4644,207,203,240,1.0,Semiurban,Y
LP0085,Male,No,1,Not Graduate,Yes,11962,2665,425,180,1.0,Semiurban,Y
LP0086,Male,Yes,0,Not Graduate,Yes,11131,2493,433,180,1.0,Urban,Y
LP0087,Female,No,0,Graduate,No,2052,6813,191,480,0.0,Semiurban,N
LP0088,Male,Yes,3+,Graduate,Yes,10407,632,362,180,0.0,Semiurban,N
LP0089,Female,No,3+,Graduate,No,6883,3083,214,180,1.0,Rural,Y
LP0090,Female,Yes,1,Not Graduate,Yes,5411,3719,363,180,1.0,Semiurban,Y
LP0091,Female,Yes,3+,Not Graduate,No,11405,7123,70,180,1.0,Rural,Y
LP0092,Female,No,2,Graduate,No,4889,1679,131,480,1.0,Rural,Y
LP0093,Female,Yes,3+,Not Graduate,No,10799,236,118,180,1.0,Semiurban,Y
LP0094,Female,No,2,Not Graduate,No,13898,7446,180,360,1.0,Urban,Y
LP0095,Female,No,1,Not Graduate,Yes,9942,4443,136,360,1.0,Urban,Y
LP0096,Female,No,1,Not Graduate,Yes,3930,6770,267,360,1.0,Semiurban,Y
LP0097,Female,Yes,1,Not Graduate,No,11746,9732,470,360,0.0,Urban,N
LP0098,Female,Yes,1,Graduate,No,1958,6099,354,180,1.0,Rural,Y
LP0099,Female,No,1,Not Graduate,No,14895,8555,452,360,1.0,Rural,Y
LP0100,Male,No,2,Graduate,Yes,1707,2368,420,180,1.0,Semiurban,N
LP0101,Male,Yes,2,Not Graduate,Yes,2399,285,394,480,0.0,Urban,N
LP0102,Female,No,1,Graduate,Yes,13153,148,390,360,1.0,Urban,Y
LP0103,Female,No,3+,Not Graduate,Yes,13077,4037,433,240,0.0,Rural,Y
LP0104,Female,No,0,Graduate,No,1521,6549,445,360,0.0,Semiurban,N
LP0105,Female,Yes,1,Not Graduate,No,10101,7121,494,360,1.0,Urban,Y
LP0106,Female,Yes,3+,Graduate,No,2394,9958,474,180,1.0,Semiurban,Y
LP0107,Female,Yes,0,Not Graduate,Yes,2014,4895,210,360,0.0,Urban,N
LP0108,Female,No,1,Graduate,Yes,8794,5280,227,240,1.0,Rural,Y
LP0109,Female,No,1,Not Graduate,Yes,6404,1012,166,180,0.0,Rural,N
LP0110,Male,No,2,Graduate,No,9367,9715,245,180,0.0,Semiurban,N
LP0111,Female,Yes,0,Graduate,No,14661,2785,432,480,1.0,Rural,N
LP0112,Male,No,0,Not Graduate,Yes,5609,3725,376,480,1.0,Urban,Y
LP0113,Female,No,3+,Not Graduate,No,14758,4576,135,360,0.0,Rural,N
LP0114,Female,No,2,Graduate,Yes,8679,5782,338,480,1.0,Semiurban,Y
LP0115,Male,No,2,Not Graduate,Yes,11826,6257,130,480,1.0,Semiurban,Y
LP0116,Female,Yes,2,Graduate,No,13287,9793,201,480,1.0,Semiurban,Y
LP0117,Male,Yes,2,Graduate,Yes,12648,2408,110,180,1.0,Urban,Y
LP0118,Female,No,0,Graduate,No,3060,340,110,180,0.0,Urban,N
LP0119,Female,Yes,0,Not Graduate,Yes,2766,2817,403,180,0.0,Urban,N
LP0120,Male,Yes,1,Graduate,No,11861,2496,77,480,1.0,Urban,Y
LP0121,Female,No,1,Graduate,No,5138,5962,491,180,1.0,Urban,Y
LP0122,Male,No,2,Not Graduate,No,10441,5299,92,480,1.0,Rural,N
LP0123,Female,Yes,2,Not Graduate,Yes,4927,9917,218,180,0.0,Urban,Y
LP0124,Male,No,2,Not Graduate,Yes,6280,7574,472,180,1.0,Urban,Y
LP0125,Male,Yes,1,Not Graduate,No,3427,1689,135,240,1.0,Rural,Y
LP0126,Female,No,3+,Graduate,No,13496,3267,226,360,1.0,Urban,Y
LP0127,Female,Yes,3+,Graduate,Yes,13394,4406,66,480,1.0,Semiurban,Y
LP0128,Male,No,1,Graduate,Yes,3856,8453,147,240,0.0,Urban,N
LP0129,Female,Yes,1,Graduate,Yes,6290,1442,247,180,1.0,Urban,Y
LP0130,Female,Yes,1,Not Graduate,No,12027,8597,147,480,1.0,Semiurban,Y
LP0131,Female,Yes,1,Graduate,Yes,1806,4437,114,180,1.0,Semiurban,Y
LP0132,Male,No,1,Graduate,Yes,9479,5435,379,360,0.0,Semiurban,Y
LP0133,Male,Yes,1,Not Graduate,No,5165,8435,390,240,1.0,Semiurban,Y
LP0134,Male,Yes,2,Graduate,Yes,11681,4107,54,360,1.0,Urban,Y
LP0135,Male,No,2,Graduate,Yes,8557,560,51,240,1.0,Semiurban,Y
LP0136,Male,No,2,Graduate,Yes,2161,8785,71,180,0.0,Semiurban,N
LP0137,Male,Yes,2,Graduate,No,6144,5548,161,360,1.0,Rural,Y
LP0138,Male,Yes,1,Graduate,No,10003,1826,106,360,1.0,Semiurban,Y
LP0139,Male,No,3+,Graduate,No,4420,7629,115,180,1.0,Semiurban,Y
LP0140,Male,No,0,Not Graduate,No,10774,8325,379,360,1.0,Rural,Y
LP0141,Female,No,1,Not Graduate,No,12663,3138,147,480,1.0,Rural,Y
LP0142,Male,No,0,Graduate,No,10446,7693,193,240,0.0,Urban,N
LP0143,Female,No,3+,Graduate,No,13822,8264,417,240,1.0,Rural,Y
LP0144,Female,Yes,2,Not Graduate,Yes,14232,7842,484,240,1.0,Urban,Y
LP0145,Female,No,3+,Graduate,Yes,7736,6721,174,480,1.0,Rural,Y
LP0146,Male,Yes,1,Graduate,No,7578,7002,216,240,1.0,Rural,Y
LP0147,Male,Yes,2,Graduate,Yes,1852,4225,135,180,1.0,Urban,Y
LP0148,Male,Yes,1,Not Graduate,Yes,10594,2978,125,360,0.0,Rural,N
LP0149,Male,No,2,Graduate,No,13580,7373,393,480,1.0,Urban,Y
LP0150,Female,Yes,0,Not Graduate,Yes,8505,5907,473,240,1.0,Rural,Y
LP0151,Male,Yes,0,Graduate,Yes,1658,6097,343,180,1.0,Semiurban,Y
