Loan_ID,Loan_Type,Gender,Married,Dependents,Education,Self_Employed,Loan_Amount_Term,Loan_Status,ApplicantIncome_LKR,CoapplicantIncome_LKR,LoanAmount_LKR,Property_Region_SL,Employment_Sector,CRIB_Clearance
LP0001,Vehicle Lease,Male,Yes,1,Graduate,Yes,48,N,184500,61940,1180000,Kandy,Informal/Self-Employed,Very Low Risk
LP0002,Housing Loan,Female,Yes,2,Not Graduate,Yes,120,N,40520,92320,3980000,Hambantota,Informal/Self-Employed,Average Risk
LP0003,Housing Loan,Male,Yes,0,Not Graduate,No,120,Y,94480,180,3690000,Colombo,Private Sector,Low Risk
LP0004,Housing Loan,Male,No,0,Graduate,No,120,Y,238900,115040,4700000,Jaffna,Government,Low Risk
LP0005,Personal Loan,Male,Yes,0,Graduate,Yes,24,Y,260720,197040,980000,Colombo,Informal/Self-Employed,Very Low Risk
LP0006,Housing Loan,Female,Yes,0,Graduate,Yes,120,N,273140,125900,4540000,Colombo,Private Sector,High Risk
LP0007,Personal Loan,Male,No,3+,Not Graduate,No,36,Y,67500,96300,1230000,Kandy,Private Sector,Very Low Risk
LP0008,Housing Loan,Male,Yes,0,Not Graduate,Yes,60,N,65260,21440,2410000,Ratnapura,Private Sector,Very High Risk
LP0009,Housing Loan,Male,No,3+,Not Graduate,Yes,120,Y,204240,64500,3100000,Kandy,Private Sector,Low Risk
LP0010,Housing Loan,Female,No,3+,Not Graduate,Yes,120,Y,145940,26320,4050000,Jaffna,Informal/Self-Employed,Low Risk
LP0011,Personal Loan,Male,Yes,0,Graduate,Yes,36,Y,214160,113980,1190000,Ampara,Informal/Self-Employed,Very Low Risk
LP0012,Vehicle Lease,Male,No,0,Graduate,Yes,48,N,171980,136140,1390000,Galle,Informal/Self-Employed,Average Risk
LP0013,Housing Loan,Male,Yes,1,Graduate,No,120,Y,132180,133480,3090000,Jaffna,Private Sector,Low Risk
LP0014,Vehicle Lease,Male,No,2,Graduate,No,36,Y,162880,73660,1750000,Jaffna,Private Sector,Very Low Risk
LP0015,Housing Loan,Female,No,0,Not Graduate,No,60,Y,32320,144540,2800000,Kandy,Private Sector,Very Low Risk
LP0016,Housing Loan,Male,Yes,1,Not Graduate,No,120,Y,78660,65460,3440000,Puttalam,Private Sector,Very Low Risk
LP0017,Housing Loan,Female,No,1,Graduate,Yes,120,N,139260,140000,4680000,Matara,Government,High Risk
LP0018,Personal Loan,Female,No,2,Graduate,No,36,N,41660,2900,1780000,Gampaha,Private Sector,Low Risk
LP0019,Housing Loan,Female,No,3+,Not Graduate,Yes,120,N,201720,100200,3290000,Matale,Private Sector,High Risk
LP0020,Housing Loan,Male,No,0,Graduate,No,120,Y,297500,60800,3620000,Badulla,Private Sector,Very Low Risk
LP0021,Personal Loan,Female,No,2,Not Graduate,Yes,36,N,105760,193080,1490000,Kurunegala,Private Sector,Low Risk
LP0022,Housing Loan,Male,Yes,0,Graduate,Yes,120,Y,249200,195520,3750000,Mullaitivu,Private Sector,Very Low Risk
LP0023,Housing Loan,Female,No,1,Graduate,No,120,N,113340,9640,3460000,Ampara,Government,Very Low Risk
LP0024,Housing Loan,Female,Yes,1,Graduate,Yes,60,N,271040,63580,2310000,Colombo,Private Sector,Very Low Risk
LP0025,Business/SME Loan,Female,No,3+,Graduate,Yes,60,Y,199300,24980,2230000,Galle,Government,Low Risk
LP0026,Housing Loan,Female,Yes,1,Graduate,No,120,Y,234100,12600,3650000,Badulla,Private Sector,Low Risk
LP0027,Housing Loan,Female,Yes,1,Graduate,Yes,120,N,282500,177060,4130000,Mullaitivu,Government,High Risk
LP0028,Personal Loan,Female,No,2,Graduate,No,60,N,57780,57040,2370000,Mannar,Private Sector,Very High Risk
LP0029,Personal Loan,Female,No,0,Not Graduate,No,48,N,265160,19740,1060000,Anuradhapura,Private Sector,Very High Risk
LP0030,Personal Loan,Female,No,0,Not Graduate,No,12,Y,287880,152440,800000,Ratnapura,Private Sector,High Risk
LP0031,Vehicle Lease,Male,Yes,2,Not Graduate,Yes,48,Y,197140,146540,1330000,Mullaitivu,Private Sector,Low Risk
LP0032,Business/SME Loan,Male,No,3+,Not Graduate,Yes,60,Y,225180,194760,2010000,Trincomalee,Private Sector,Very Low Risk
LP0033,Personal Loan,Female,Yes,0,Not Graduate,Yes,12,N,153080,176820,850000,Kegalle,Private Sector,Very Low Risk
LP0034,Housing Loan,Female,Yes,1,Graduate,No,60,Y,138400,183200,2620000,Galle,Private Sector,Average Risk
LP0035,Housing Loan,Female,Yes,0,Graduate,Yes,120,N,208400,22000,4630000,Colombo,Private Sector,Average Risk
LP0036,Housing Loan,Male,No,1,Not Graduate,No,120,Y,70860,133040,4570000,Ratnapura,Private Sector,Low Risk
LP0037,Housing Loan,Female,No,3+,Graduate,No,120,Y,113940,172640,4130000,Ampara,Private Sector,Very Low Risk
LP0038,Business/SME Loan,Male,Yes,2,Not Graduate,Yes,36,Y,99920,148420,1550000,Ratnapura,Informal/Self-Employed,Very Low Risk
LP0039,Housing Loan,Male,Yes,0,Not Graduate,No,120,Y,45560,100320,4630000,Kandy,Government,Low Risk
LP0040,Housing Loan,Male,No,2,Graduate,Yes,120,N,34260,15380,3910000,Colombo,Private Sector,Very Low Risk
LP0041,Business/SME Loan,Male,Yes,0,Graduate,Yes,60,Y,105240,26860,2690000,Batticaloa,Informal/Self-Employed,Very Low Risk
LP0042,Housing Loan,Male,No,1,Graduate,Yes,120,Y,297980,87160,4400000,Nuwara Eliya,Private Sector,Low Risk
LP0043,Business/SME Loan,Female,Yes,2,Not Graduate,Yes,60,Y,225360,195380,2120000,Gampaha,Private Sector,Very Low Risk
LP0044,Housing Loan,Female,No,0,Graduate,Yes,120,N,242800,135600,4880000,Kegalle,Private Sector,Average Risk
LP0045,Housing Loan,Female,Yes,1,Not Graduate,No,60,N,164620,132040,2690000,Colombo,Private Sector,High Risk
LP0046,Housing Loan,Female,No,2,Not Graduate,No,120,Y,252560,46980,3190000,Kurunegala,Private Sector,Low Risk
LP0047,Personal Loan,Female,Yes,2,Not Graduate,No,36,N,92340,113980,1690000,Batticaloa,Government,Very Low Risk
LP0048,Housing Loan,Male,No,0,Graduate,Yes,120,N,145820,24820,4430000,Matara,Private Sector,Very High Risk
LP0049,Housing Loan,Female,No,0,Graduate,Yes,120,Y,205660,22500,3850000,Gampaha,Private Sector,Low Risk
LP0050,Housing Loan,Female,Yes,0,Not Graduate,Yes,120,Y,297940,187640,4490000,Kegalle,Informal/Self-Employed,Very Low Risk
LP0051,Vehicle Lease,Male,Yes,1,Graduate,No,60,Y,84400,135280,2310000,Galle,Private Sector,Average Risk
LP0052,Business/SME Loan,Female,No,0,Graduate,Yes,48,Y,208100,102020,1550000,Kandy,Government,Low Risk
LP0053,Housing Loan,Male,Yes,2,Graduate,No,60,Y,212540,156860,2660000,Nuwara Eliya,Private Sector,Average Risk
LP0054,Housing Loan,Female,No,2,Not Graduate,No,60,Y,150940,1440,2540000,Jaffna,Private Sector,Average Risk
LP0055,Personal Loan,Male,Yes,0,Not Graduate,Yes,36,N,280580,109440,1190000,Kandy,Government,Very High Risk
LP0056,Personal Loan,Female,No,0,Graduate,Yes,24,Y,190640,103780,930000,Kandy,Private Sector,Average Risk
LP0057,Housing Loan,Female,No,3+,Not Graduate,No,120,N,30020,49440,3780000,Anuradhapura,Private Sector,Very Low Risk
LP0058,Housing Loan,Male,No,2,Graduate,Yes,120,Y,157360,14140,3500000,Galle,Private Sector,Very Low Risk
LP0059,Housing Loan,Male,No,1,Graduate,No,60,Y,250800,36080,2770000,Polonnaruwa,Private Sector,Very Low Risk
LP0060,Business/SME Loan,Male,No,3+,Graduate,Yes,60,Y,274720,134080,2330000,Matale,Private Sector,Very Low Risk
LP0061,Business/SME Loan,Male,No,0,Graduate,Yes,48,Y,68980,74260,1560000,Hambantota,Government,Very Low Risk
LP0062,Vehicle Lease,Male,Yes,0,Not Graduate,No,48,N,164640,101020,1330000,Kurunegala,Government,High Risk
